arraySize,time
1024,0.000531
1024,0.000534
1024,0.000547
1024,0.000521
1024,0.000535
4096,0.002504
4096,0.002559
4096,0.002555
4096,0.002563
4096,0.00256
16384,0.012777
16384,0.013138
16384,0.012906
16384,0.012768
16384,0.013074
65536,0.062848
65536,0.062108
65536,0.061808
65536,0.062067
65536,0.062862
262144,0.300047
262144,0.298396
262144,0.298501
262144,0.298829
262144,0.298426
1048576,1.42268
1048576,1.42403
1048576,1.4261
1048576,1.42822
1048576,1.41444
4194304,6.76714
4194304,6.76931
4194304,6.76961
4194304,6.77368
4194304,6.76343
