CUDA is not used
A	[0.840188,0.783099,0.911647,0.335223,0.277775]
B	[0.394383,0.798440,0.197551,0.768230,0.553970]
sorted A	[0.911647,0.840188,0.783099,0.335223,0.277775]
sorted B	[0.798440,0.768230,0.553970,0.394383,0.197551]
dot_prods	1.994247
time	0.000092
CUDA is not used
A	[0.477397,0.364784,0.952230,0.635712,0.141603]
B	[0.628871,0.513401,0.916195,0.717297,0.606969]
sorted A	[0.952230,0.635712,0.477397,0.364784,0.141603]
sorted B	[0.916195,0.717297,0.628871,0.606969,0.513401]
dot_prods	1.922755
time	0.092761
